date,home_team,home_score,away_team,away_score,status
2025-08-15 17:00:00+00:00,Girona,0,Rayo Vallecano,0,Scheduled
2025-08-15 19:30:00+00:00,Villarreal,0,Real Oviedo,0,Scheduled
